Date,Open,High,Low,Close,Adj Close,Volume
2018-09-10,89.599998,89.599998,84.459999,87.290001,83.398491,25835
2018-09-11,86.820000,87.379997,86.010002,86.279999,82.433517,11595
2018-09-12,85.910004,87.599998,85.910004,87.410004,83.513153,9575
2018-09-14,87.410004,89.300003,87.360001,88.580002,84.630989,13640
2018-09-17,88.400002,89.230003,86.970001,87.769997,83.857086,2029980
2018-09-18,86.930000,87.790001,86.500000,87.010002,83.130981,6090
2018-09-19,87.309998,87.760002,86.599998,86.930000,83.054535,15610
2018-09-21,86.930000,87.750000,83.180000,85.809998,81.984474,148270
2018-09-24,87.000000,87.160004,85.400002,86.059998,82.223312,22045
2018-09-25,86.400002,86.940002,85.839996,86.599998,82.739250,16535
2018-09-26,86.599998,87.510002,86.599998,87.040001,83.159653,10750
2018-09-27,86.339996,88.000000,85.730003,86.050003,82.213768,8080
2018-09-28,86.449997,87.180000,85.010002,86.029999,82.194664,18670
2018-10-01,86.040001,86.040001,84.199997,85.629997,81.812500,10685
2018-10-03,86.110001,86.800003,83.599998,85.669998,81.850708,21050
2018-10-04,83.599998,87.000000,83.199997,84.330002,80.570457,14470
2018-10-05,83.019997,84.160004,81.629997,81.900002,78.248787,11355
2018-10-08,80.419998,82.000000,77.029999,80.839996,77.236038,16870
2018-10-09,81.000000,81.339996,79.739998,80.269997,76.691452,23010
2018-10-10,80.400002,84.080002,80.400002,83.309998,79.595924,4630
2018-10-11,81.889999,84.550003,81.400002,83.889999,80.150063,7820
2018-10-12,85.099998,85.129997,81.800003,81.989998,78.334763,9140
2018-10-15,82.419998,82.889999,81.519997,81.750000,78.105476,1940
2018-10-16,83.099998,83.099998,81.599998,82.160004,78.497200,1790
2018-10-17,82.059998,82.279999,80.220001,80.629997,77.035408,4455
2018-10-19,79.790001,79.790001,76.410004,76.669998,73.251945,1016390
2018-10-22,77.599998,77.599998,75.250000,76.949997,73.519463,14995
2018-10-23,76.010002,76.010002,74.720001,74.930000,71.589523,8655
2018-10-24,76.769997,77.959999,70.550003,71.790001,68.589508,18150
2018-10-25,71.099998,72.000000,68.040001,68.370003,65.321976,35960
2018-10-26,67.970001,71.199997,66.059998,68.519997,65.465286,2933800
2018-10-29,69.800003,72.180000,69.209999,70.779999,67.624535,18985
2018-10-30,71.349998,73.370003,68.199997,68.790001,65.723251,90600
2018-10-31,69.059998,71.019997,68.000000,68.360001,65.312424,14225
2018-11-01,69.110001,71.599998,68.800003,71.370003,68.188232,15445
2018-11-02,70.599998,73.599998,70.580002,73.059998,69.802887,45275
2018-11-05,73.000000,75.239998,71.370003,73.070000,69.812439,13745
2018-11-06,73.059998,73.059998,71.610001,71.790001,68.589508,3860
